# data from Gutjahr et al. 2017, Case where C-org burial increases during the recovery
Time_WRT_CIE,DIC,pH
6.80,2.12E-03,7.48E+00
6.90,2.12E-03,7.48E+00
7.00,2.12E-03,7.48E+00
7.10,2.12E-03,7.48E+00
7.20,2.12E-03,7.48E+00
7.30,2.12E-03,7.48E+00
7.40,2.13E-03,7.48E+00
7.50,2.13E-03,7.48E+00
7.60,2.13E-03,7.48E+00
7.70,2.13E-03,7.48E+00
7.80,2.13E-03,7.48E+00
7.90,2.14E-03,7.48E+00
8.00,2.14E-03,7.48E+00
8.10,2.14E-03,7.48E+00
8.20,2.14E-03,7.48E+00
8.30,2.14E-03,7.48E+00
8.40,2.14E-03,7.48E+00
8.50,2.15E-03,7.48E+00
8.60,2.15E-03,7.48E+00
8.70,2.15E-03,7.48E+00
8.80,2.15E-03,7.47E+00
8.90,2.15E-03,7.47E+00
9.00,2.16E-03,7.47E+00
9.10,2.16E-03,7.47E+00
9.20,2.16E-03,7.47E+00
9.30,2.16E-03,7.47E+00
9.40,2.16E-03,7.47E+00
9.50,2.16E-03,7.47E+00
9.60,2.17E-03,7.47E+00
9.70,2.17E-03,7.47E+00
9.80,2.17E-03,7.47E+00
9.90,2.17E-03,7.47E+00
10.00,2.17E-03,7.47E+00
10.10,2.17E-03,7.47E+00
10.20,2.18E-03,7.47E+00
10.30,2.18E-03,7.47E+00
10.40,2.18E-03,7.47E+00
10.50,2.18E-03,7.47E+00
10.60,2.18E-03,7.47E+00
10.70,2.18E-03,7.47E+00
10.80,2.19E-03,7.47E+00
10.90,2.19E-03,7.47E+00
11.00,2.19E-03,7.47E+00
11.10,2.19E-03,7.47E+00
11.20,2.19E-03,7.47E+00
11.30,2.19E-03,7.47E+00
11.40,2.20E-03,7.47E+00
11.50,2.20E-03,7.47E+00
11.60,2.20E-03,7.47E+00
11.70,2.20E-03,7.47E+00
11.80,2.20E-03,7.47E+00
11.90,2.20E-03,7.47E+00
12.00,2.21E-03,7.47E+00
12.10,2.21E-03,7.47E+00
12.20,2.21E-03,7.47E+00
12.30,2.21E-03,7.47E+00
12.40,2.21E-03,7.47E+00
12.50,2.21E-03,7.47E+00
12.60,2.21E-03,7.47E+00
12.70,2.22E-03,7.47E+00
12.80,2.22E-03,7.47E+00
12.90,2.22E-03,7.47E+00
13.00,2.22E-03,7.47E+00
13.10,2.22E-03,7.47E+00
13.20,2.22E-03,7.47E+00
13.30,2.23E-03,7.47E+00
13.40,2.23E-03,7.47E+00
13.50,2.23E-03,7.47E+00
13.60,2.23E-03,7.47E+00
13.70,2.23E-03,7.47E+00
13.80,2.23E-03,7.47E+00
13.90,2.23E-03,7.47E+00
14.00,2.24E-03,7.47E+00
14.10,2.24E-03,7.47E+00
14.20,2.24E-03,7.47E+00
14.30,2.24E-03,7.47E+00
14.40,2.24E-03,7.47E+00
14.50,2.24E-03,7.47E+00
14.60,2.24E-03,7.47E+00
14.70,2.25E-03,7.47E+00
14.80,2.25E-03,7.47E+00
14.90,2.25E-03,7.47E+00
15.00,2.25E-03,7.47E+00
15.10,2.25E-03,7.47E+00
15.20,2.25E-03,7.47E+00
15.30,2.25E-03,7.47E+00
15.40,2.26E-03,7.47E+00
15.50,2.26E-03,7.47E+00
15.60,2.26E-03,7.47E+00
15.70,2.26E-03,7.47E+00
15.80,2.26E-03,7.47E+00
15.90,2.26E-03,7.47E+00
16.00,2.26E-03,7.47E+00
16.10,2.27E-03,7.47E+00
16.20,2.27E-03,7.47E+00
16.30,2.27E-03,7.47E+00
16.40,2.27E-03,7.47E+00
16.50,2.27E-03,7.47E+00
16.60,2.27E-03,7.47E+00
16.70,2.27E-03,7.47E+00
16.80,2.27E-03,7.47E+00
16.90,2.28E-03,7.47E+00
17.00,2.28E-03,7.47E+00
17.10,2.28E-03,7.47E+00
17.20,2.28E-03,7.47E+00
17.30,2.28E-03,7.47E+00
17.40,2.28E-03,7.47E+00
17.50,2.28E-03,7.47E+00
17.60,2.29E-03,7.47E+00
17.70,2.29E-03,7.47E+00
17.80,2.29E-03,7.47E+00
17.90,2.29E-03,7.47E+00
18.00,2.29E-03,7.47E+00
18.10,2.29E-03,7.47E+00
18.20,2.29E-03,7.47E+00
18.30,2.29E-03,7.47E+00
18.40,2.30E-03,7.47E+00
18.50,2.30E-03,7.47E+00
18.60,2.30E-03,7.47E+00
18.70,2.30E-03,7.47E+00
18.80,2.30E-03,7.47E+00
18.90,2.30E-03,7.47E+00
19.00,2.30E-03,7.47E+00
19.10,2.30E-03,7.47E+00
19.20,2.30E-03,7.47E+00
19.30,2.31E-03,7.47E+00
19.40,2.31E-03,7.47E+00
19.50,2.31E-03,7.47E+00
19.60,2.31E-03,7.47E+00
19.70,2.31E-03,7.47E+00
19.80,2.31E-03,7.47E+00
19.90,2.31E-03,7.47E+00
20.00,2.31E-03,7.47E+00
20.10,2.32E-03,7.47E+00
20.20,2.32E-03,7.47E+00
20.30,2.32E-03,7.47E+00
20.40,2.32E-03,7.46E+00
20.50,2.32E-03,7.46E+00
20.60,2.32E-03,7.46E+00
20.70,2.32E-03,7.46E+00
20.80,2.32E-03,7.46E+00
20.90,2.32E-03,7.46E+00
21.00,2.33E-03,7.46E+00
21.10,2.33E-03,7.46E+00
21.20,2.33E-03,7.46E+00
21.30,2.33E-03,7.46E+00
21.40,2.33E-03,7.46E+00
21.50,2.33E-03,7.46E+00
21.60,2.33E-03,7.46E+00
21.70,2.33E-03,7.46E+00
21.80,2.33E-03,7.46E+00
21.90,2.34E-03,7.46E+00
22.00,2.34E-03,7.46E+00
22.10,2.34E-03,7.46E+00
22.20,2.34E-03,7.46E+00
22.30,2.34E-03,7.46E+00
22.40,2.34E-03,7.46E+00
22.50,2.34E-03,7.46E+00
22.60,2.34E-03,7.46E+00
22.70,2.34E-03,7.46E+00
22.80,2.35E-03,7.46E+00
22.90,2.35E-03,7.46E+00
23.00,2.35E-03,7.46E+00
